ID|Title|Publishers|Year_North_America|Year_JP|Category|Description
497|Hanafuda Ou|Coconuts Japan||1994||
500|Hanjuku Hero: Aa, Sekaiyo Hanjukunare...!|Square|Unreleased|1992| |"Hanjuku Hero is a quirky RPG developed and published by Square. The game features a unique blend of humor and strategy, set in a world where characters are half-baked. Join the adventure and uncover the mysteries of this unconventional universe."
501|Hanna Barbera's Turbo Toons|Entertainment International UK| | | |"Hanna Barbera's Turbo Toons is an unreleased game that was set to offer exciting racing gameplay based on the popular animated series. Unfortunately, the game was cancelled, leaving fans wondering about the adventures they could have had."
502|Haō Taikei Ryū Knight|Bandai|Unreleased|1994| |"Haō Taikei Ryū Knight is a game based on the anime series of the same name. Developed by Japan Art Media and published by Bandai, the game immerses players in a fantasy world filled with mecha battles and epic quests. Dive into the action and become a legendary knight!"
503|Hardball III|Accolade|1994| | |"Hardball III is a baseball simulation game developed and published by Accolade. With realistic gameplay and graphics, players can experience the thrill of America's favorite pastime right on their screens. Step up to the plate and swing for the fences in this classic sports title."
504|Harley's Humongous Adventure•Kagakusha Harley no Haran BanjouJP|Altron (JP)Hi Tech Expressions (NA and EU)|1993|1994| |"Harley's Humongous Adventure, also known as Kagakusha Harley no Haran Banjou in Japan, is a platformer game developed by Visual Concepts. Players control Harley, a brilliant scientist who embarks on a wild journey through various dimensions. Help Harley navigate challenging levels and defeat enemies to save the day!"
505|Harukanaru Augusta|T&E Soft|Unreleased|1991| |"Harukanaru Augusta is a golf simulation game developed and published by T&E Soft. Offering realistic gameplay and beautiful courses, players can enjoy a relaxing round of golf in the comfort of their homes. Tee off and experience the serene world of Harukanaru Augusta."
506|Harukanaru Augusta 2: Masters|T&E Soft|Unreleased|1993| |"Harukanaru Augusta 2: Masters is the sequel to the original golf simulation game, developed and published by T&E Soft. With improved mechanics and new challenges, players can test their skills on the green and strive to become a golfing master. Swing away and conquer the courses in this engaging sports title."
507|Harukanaru Augusta 3: Masters New|T&E Soft|Unreleased|1995| |"Harukanaru Augusta 3: Masters New continues the golfing legacy of the Augusta series, developed and published by T&E Soft. Featuring updated gameplay and courses, players can immerse themselves in the world of competitive golfing. Grab your clubs and aim for victory in this thrilling sports game."
508|Harvest Moon•Bokujou MonogatariJP|Natsume (NA)Nintendo (EU)|1997|1996| |"Harvest Moon, also known as Bokujou Monogatari in Japan, is a beloved farming simulation game developed by Pack-In-Video. Players inherit a farm and must work hard to cultivate crops, raise livestock, and build relationships with the townspeople. Experience the joys of rural life and create your own story in Harvest Moon."
509|Hashire Hebereke|Sunsoft|Unreleased|1994| |"Hashire Hebereke is a colorful racing game featuring the quirky characters from the Hebereke series. Developed and published by Sunsoft, the game offers fast-paced gameplay and wacky tracks for players to enjoy. Get ready to dash to the finish line with Hebereke and friends!"
510|Hat Trick Hero 2|Taito| |1994| |"Hat Trick Hero 2 is a soccer game developed by Neverland and published by Taito. While the North American release was cancelled, the game offers exciting sports action and strategic gameplay for soccer enthusiasts. Take to the field and lead your team to victory in Hat Trick Hero 2."
511|Hatayama Hatch no Pro Yakyuu News! Jitsumei Han|Epoch Co.| |1993| |"Hatayama Hatch no Pro Yakyuu News! Jitsumei Han is a baseball management simulation game developed by Agenda and published by Epoch Co. Dive into the world of professional baseball, make strategic decisions, and lead your team to championship glory. Stay ahead of the competition and dominate the league!"
512|Hayashi Kaihou Kudan no Igo Oodou|ASK| |1996| |"Hayashi Kaihou Kudan no Igo Oodou is a challenging board game centered around the ancient strategy game of Go. Published by ASK, the game offers players the opportunity to test their skills in the intricate world of Go. Strategize, outwit your opponent, and claim victory in this intellectual showdown."
513|Hayazashi Nidan Morita Shogi|SETA| |1993| |"Hayazashi Nidan Morita Shogi is a shogi (Japanese chess) game developed by Random House and published by SETA. With realistic gameplay and challenging AI opponents, players can sharpen their strategic thinking and shogi skills. Enter the world of shogi and prove your mastery in this engaging title."
514|Hayazashi Nidan Morita Shogi 2|SETA| |1995| |"Hayazashi Nidan Morita Shogi 2 is the sequel to the original shogi game, offering enhanced features and gameplay. Developed by Random House and published by SETA, the game provides a deep shogi experience for players looking to test their strategic prowess. Prepare your pieces and engage in thrilling shogi battles!"
515|Hebereke no Oishii Puzzle: ha Irimasen ka|Sunsoft| |1994| |"Hebereke no Oishii Puzzle: ha Irimasen ka is a puzzle game developed by Sunsoft. With colorful visuals and challenging puzzles, players must match and clear blocks to progress through the game. Exercise your brain and enjoy a tasty puzzling experience with Hebereke!"
516|Hebereke's Popoitto•Popoitto HeberekeJP|Sunsoft| |1995| |"Hebereke's Popoitto, also known as Popoitto Hebereke in Japan, is a puzzle game developed and published by Sunsoft. Players must stack and clear colorful blobs to solve puzzles and advance through various levels. Dive into the world of Hebereke and put your matching skills to the test!"
517|Hebereke's Popoon|Sunsoft| |1993| |"Hebereke's Popoon is a competitive puzzle game developed and published by Sunsoft. Featuring fast-paced gameplay and multiplayer modes, players must match and clear bubbles to outwit their opponents. Challenge friends or AI characters in exciting puzzle battles and emerge victorious in Hebereke's Popoon!"
518|Heian Fuuunden|KSS| |1995| |"Heian Fuuunden is a historical simulation game developed by Natsume and published by KSS. Set in the Heian period of Japan, players take on the role of influential figures and navigate political intrigue and warfare. Immerse yourself in the rich tapestry of Japanese history and shape the fate of the nation in Heian Fuuunden."
519|Heisei Gunjin Shougi|Carrozzeria| |1996| |"Heisei Gunjin Shougi is a shogi (Japanese chess) game published by Carrozzeria. With a focus on traditional shogi gameplay and strategic depth, players can engage in challenging matches against AI opponents. Test your skills, plan your moves, and strive for victory in the world of Heisei Gunjin Shougi."
520|Heisei Inu Monogatari Bow: Pop'n Smash!!|Takara|Unreleased|1994| |"Heisei Inu Monogatari Bow: Pop'n Smash!! is a Japanese exclusive game released by Takara in April 1994. It is a fun and exciting game featuring dogs in a smashing adventure."
521|Heisei Shin Oni Ga Shima (Part 1)|Nintendo|Unreleased|1998| |"Heisei Shin Oni Ga Shima (Part 1) is a game published by Nintendo in Japan on May 23, 1998. It is part of a series that offers thrilling gameplay and engaging storylines."
522|Heisei Shin Oni Ga Shima (Part 2)|Nintendo|Unreleased|1998| |"Heisei Shin Oni Ga Shima (Part 2) is the sequel to the first part, published by Nintendo in Japan on May 23, 1998. It continues the exciting adventures from the previous installment."
523|Heiwa Pachinko World|Shouei|Unreleased|1995| |"Heiwa Pachinko World is a pachinko game developed by Office Koukan and published by Shouei in Japan on February 24, 1995. Experience the thrill of pachinko in this engaging title."
524|Heiwa Pachinko World 2|Shouei|Unreleased|1995| |"Heiwa Pachinko World 2 is the sequel to the original game, released by Shouei in Japan on September 29, 1995. Enjoy an enhanced pachinko experience with new features and gameplay."
525|Heiwa Pachinko World 3|Shouei|Unreleased|1996| |"Heiwa Pachinko World 3 is another installment in the pachinko series, published by Shouei in Japan on April 26, 1996. Dive into the world of pachinko with this exciting game."
526|Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game|Nippon Telenet|Unreleased|1998| |"Heiwa Parlor! Mini 8: Pachinko Jikki Simulation Game is a simulation game developed by Nippon Telenet, released in Japan on January 30, 1998. Experience the thrills of pachinko in a virtual setting."
527|Hercules no Eikou III|Data East|Unreleased|1992| |"Hercules no Eikou III is an action-adventure game developed and published by Data East in Japan on April 24, 1992. Join Hercules on a heroic journey in this exciting title."
528|Hercules no Eikou IV|Data East|Unreleased|1994| |"Hercules no Eikou IV is the fourth installment in the series, developed and published by Data East in Japan on October 21, 1994. Embark on another epic adventure with Hercules in this thrilling game."
529|Hero Senki: Project Olympus|Banpresto|Unreleased|1992| |"Hero Senki: Project Olympus is a game developed by Winkysoft and published by Banpresto in Japan on November 20, 1992. Immerse yourself in a world of heroes and legends in this captivating title."
530|Higashio Osamu Kanshuu Super Pro Yakyuu Stadium|Tokuma Shoten|Unreleased|1993| |"Higashio Osamu Kanshuu Super Pro Yakyuu Stadium is a sports game developed by C-Lab and published by Tokuma Shoten in Japan on September 30, 1993. Enjoy the excitement of professional baseball in this immersive title."
531|Hiouden: Mamono-tachi tono Chikai|Wolf Team|Unreleased|1994| |"Hiouden: Mamono-tachi tono Chikai is an RPG developed and published by Wolf Team in Japan on February 11, 1994. Dive into a fantasy world filled with monsters and magic in this epic adventure."
532|Hiryuu no Ken S: Hyper Version|Culture Brain|Unreleased|1992| |"Hiryuu no Ken S: Hyper Version is a fighting game developed and published by Culture Brain in Japan on December 11, 1992. Test your martial arts skills in this fast-paced title."
533|Hissatsu Pachinko Collection|Sunsoft|Unreleased|1994| |"Hissatsu Pachinko Collection is a pachinko game published by Sunsoft in Japan on October 21, 1994. Enjoy a collection of exciting pachinko machines in this engaging title."
534|Hissatsu Pachinko Collection 2|Sunsoft|Unreleased|1995| |"Hissatsu Pachinko Collection 2 is the second installment in the pachinko series, released by Sunsoft in Japan on March 24, 1995. Explore new pachinko machines and challenges in this thrilling game."
535|Hissatsu Pachinko Collection 3|Sunsoft|Unreleased|1995| |"Hissatsu Pachinko Collection 3 is another addition to the pachinko series, published by Sunsoft in Japan on November 2, 1995. Test your luck and skills on various pachinko machines in this fun title."
536|Hissatsu Pachinko Collection 4|Sunsoft|Unreleased|1996| |"Hissatsu Pachinko Collection 4 is the fourth game in the pachinko series, released by Sunsoft in Japan on August 30, 1996. Experience the excitement of pachinko with new challenges and features in this installment."
537|Hisshou 777 Fighter: Pachi-Slot Ryuuguu Densetsu|VAP|Unreleased|1994| |"Hisshou 777 Fighter: Pachi-Slot Ryuuguu Densetsu is a pachi-slot game developed by Jorudan and published by VAP in Japan on January 14, 1994. Enjoy the thrill of pachi-slot gameplay in this exciting title."
538|Hisshou 777 Fighter II: Pachi-Slot Maruhi Jouhou|VAP|Unreleased|1994| |"Hisshou 777 Fighter II: Pachi-Slot Maruhi Jouhou is the second game in the pachi-slot series, released by VAP in Japan on August 19, 1994. Test your luck and skills in this thrilling pachi-slot experience."
539|Hisshou 777 Fighter III: Kokuryuu Ou no Fukkatsu|VAP|Unreleased|1995| |"Hisshou 777 Fighter III: Kokuryuu Ou no Fukkatsu is the third installment in the pachi-slot series, published by VAP in Japan on September 15, 1995. Dive into the world of pachi-slot and compete for victory in this challenging title."
540|Hisshou Pachi-Slot Fun|Pow||1994| |"Hisshou Pachi-Slot Fun is a Japanese slot machine game released in December 1994. It features various slot machines and gameplay mechanics."
541|Hit the Ice|Taito|1993| | |"Hit the Ice is a sports video game developed by Taito. It was released in North America on February 1, 1993. The game focuses on ice hockey matches."
542|Hokuto no Ken 5|Toei Animation||1992| |"Hokuto no Ken 5 is a video game based on the popular manga and anime series Fist of the North Star. It was released in Japan on July 10, 1992."
543|Hokuto no Ken 6|Toei Animation||1992| |"Hokuto no Ken 6 is another installment in the Fist of the North Star video game series. It was released in Japan on November 20, 1992."
544|Hokuto no Ken 7|Toei Animation||1993| |"Hokuto no Ken 7 continues the saga of the Fist of the North Star video game series. It was released in Japan on December 24, 1993."
545|Holy Umbrella: Dondera no Mubo|Naxat Soft||1995| |"Holy Umbrella: Dondera no Mubo is a role-playing video game released in Japan on September 25, 1995. The game follows the adventures of the protagonist wielding a magical umbrella."
546|Home Alone|THQ|1991|1992| |"Home Alone is a video game adaptation of the popular movie. It was released in North America on December 30, 1991, and in Japan on August 11, 1992."
547|Home Alone 2: Lost in New York|THQ|1992| | |"Home Alone 2: Lost in New York is based on the movie sequel. It was released in North America on October 1, 1992, and in the PAL region on January 1, 1993."
548|Home Improvement: Power Tool Pursuit!|Absolute Entertainment|1994| | |"Home Improvement: Power Tool Pursuit! is a video game based on the TV show. It was released in North America on November 1, 1994."
549|Honkaku Mahjong: Tetsuman|Naxat Soft||1993| |"Honkaku Mahjong: Tetsuman is a mahjong video game released in Japan on September 24, 1993. Players can enjoy authentic mahjong gameplay."
550|Honkaku Mahjong: Tetsuman II|Naxat Soft||1994| |"Honkaku Mahjong: Tetsuman II is the sequel to the original mahjong game. It was released in Japan on October 21, 1994."
551|Honkaku Shougi: Fuuunji Ryuuou|Virgin Interactive||1994| |"Honkaku Shougi: Fuuunji Ryuuou is a shogi (Japanese chess) game released in Japan on December 22, 1994. Players can enjoy strategic gameplay."
552|Honkakuha Igo: Gosei|Taito||1994| |"Honkakuha Igo: Gosei is a Go board game released in Japan on October 28, 1994. It offers challenging gameplay for fans of the ancient strategy game."
553|Honke Sankyo Fever: Jikkyou Simulation|Den'Z||1995| |"Honke Sankyo Fever: Jikkyou Simulation is a simulation game released in Japan on June 10, 1995. Players can experience the excitement of pachinko."
554|Honke Sankyo Fever: Jikkyou Simulation 2|Boss Communications||1995| |"Honke Sankyo Fever: Jikkyou Simulation 2 is the second installment in the pachinko simulation series. It was released in Japan on December 15, 1995."
555|Honke Sankyo Fever: Jikkyou Simulation 3|Boss Communications||1996| |"Honke Sankyo Fever: Jikkyou Simulation 3 is the third game in the pachinko simulation series. It was released in Japan on August 30, 1996."
556|Honoo no Doukyuuji: Dodge Danpei|Sunsoft||1992| |"Honoo no Doukyuuji: Dodge Danpei is a sports-themed video game released in Japan on July 31, 1992. The game features dodgeball matches."
557|Hook|Sony Imagesoft|1992|1992| |"Hook is a video game adaptation of the movie of the same name. It was released in Japan on July 17, 1992, and in North America on October 13, 1992."
558|Horai Gakuen no Bouken!|J-Wing|1996| | |"Horai Gakuen no Bouken! is a Japanese role-playing game released on April 19, 1996. Players embark on an adventure in a school setting."
559|Houkago in Beppin Jogakuin|Imagineer|1995| | |"Houkago in Beppin Jogakuin is a simulation game released in Japan on February 3, 1995. Players experience school life and interact with classmates."
560|Human Baseball|Human Entertainment|Unreleased|1993|Sports|"Human Baseball is a sports game developed and published by Human Entertainment. It was released in Japan on August 6, 1993. The game focuses on the classic sport of baseball, offering players a realistic gameplay experience."
561|Human Grand Prix III: F1 Triple Battle|Human Entertainment|Unreleased|1994|Racing|"Human Grand Prix III: F1 Triple Battle is a racing game developed and published by Human Entertainment. It was released in Japan on September 30, 1994. The game features Formula 1 racing with intense battles and challenges."
562|Human Grand Prix IV: F1 Dream Battle|Human Entertainment|Unreleased|1995|Racing|"Human Grand Prix IV: F1 Dream Battle is a racing game developed and published by Human Entertainment. It was released in Japan on August 25, 1995. Players can experience the thrill of Formula 1 racing in this exciting title."
563|The Humans|GameTek|Cancelled|1993|Strategy|"The Humans is a strategy game developed by Imagitec Design and published by GameTek. While it was planned for release in the PAL region on December 31, 1993, the North American release was cancelled. The game offers challenging gameplay where players guide prehistoric humans through various obstacles."
564|Hungry Dinosaurs•Harapeko BakkaJP|Sunsoft|Unreleased|1994|Action|"Hungry Dinosaurs•Harapeko BakkaJP is an action game developed by Magical Company and published by Sunsoft. It was released in Japan on October 19, 1994. Players control hungry dinosaurs in a fun and engaging gameplay experience."
565|The Hunt for Red October|Hi Tech Expressions|1993|1993|Action|"The Hunt for Red October is an action game developed by Riedel Software Productions and published by Hi Tech Expressions. It was released in Japan on October 1, 1993, and in North America on January 1, 1993. Players take on the role of submarine captain Jack Ryan in a Cold War scenario."
566|Hurricanes|U.S. Gold|1994|1995|Action|"Hurricanes is an action game developed by Probe Entertainment and published by U.S. Gold. It was released in the PAL region in 1995 and in North America on December 31, 1994. Players control characters with superpowers to save the world from disaster."
567|Hyper Battle Game: Zen Nihon GT Senshuken|Banpresto|Unreleased|1995|Racing|"Hyper Battle Game: Zen Nihon GT Senshuken is a racing game developed by C.P. Brain and published by Banpresto. It was released in Japan on September 29, 1995. Players can compete in intense GT races across various tracks."
568|Hyper Iria|Banpresto|Unreleased|1995|Action|"Hyper Iria is an action game developed by TamTam and published by Banpresto. It was released in Japan on October 13, 1995. Players control the character Iria in a fast-paced sci-fi adventure."
569|Hyper V-Ball•Super Volley IIJP|Video System (JP)MC O'River (NA)Ubisoft (EU)|1994|1992|Sports|"Hyper V-Ball•Super Volley IIJP is a sports game developed by Video System and published by various companies. It was released in Japan on December 25, 1992, and in North America on June 1, 1994. The game offers exciting volleyball matches with various gameplay modes."
570|HyperZone|HAL Laboratory|1991|1991|Action|"HyperZone is an action game developed and published by HAL Laboratory. It was released in Japan on August 31, 1991, and in North America on September 1, 1991. Players pilot a spaceship through colorful and challenging levels."
571|Idea no Hi|Shouei|Unreleased|1994|Adventure|"Idea no Hi is an adventure game developed by Office Koukan and published by Shouei. It was released in Japan on March 18, 1994. Players embark on a mysterious journey filled with puzzles and exploration."
572|The Ignition Factor•Fire FightingJP|Jaleco|1995|1994|Action|"The Ignition Factor•Fire FightingJP is an action game developed and published by Jaleco. It was released in Japan on November 1, 1994, and in North America on January 1, 1995. Players take on the role of a firefighter battling blazes in various scenarios."
573|Igo Club|Hect|Unreleased|1996|Board|"Igo Club is a board game published by Hect. It was released in Japan on January 26, 1996. Players can enjoy the strategic gameplay of the ancient board game Igo."
574|Ihatovo Monogatari|Hect|Unreleased|1993|Adventure|"Ihatovo Monogatari is an adventure game developed and published by Hect. It was planned for release in Japan on March 5, 1993. The game is based on the works of Japanese author Kenji Miyazawa, offering players a unique storytelling experience."
575|Illusion of Gaia•Illusion of TimeEU•Gaia GensoukiJP|Enix (JP)Nintendo (NA and EU)|1994|1993|Action RPG|"Illusion of Gaia•Illusion of TimeEU•Gaia GensoukiJP is an action RPG developed by Quintet and published by Enix and Nintendo. It was released in Japan on November 27, 1993, in North America on September 1, 1994, and in the PAL region on April 27, 1995. Players embark on a grand adventure to save the world from darkness."
576|Illvanian no Shiro|Nippon Clary Business|Unreleased|1994|Adventure|"Illvanian no Shiro is an adventure game published by Nippon Clary Business. It was released in Japan on October 28, 1994. Players explore a mysterious castle filled with secrets and challenges."
577|Imperium•Kidou Soukou DaionJP|Vic Tokai|1992|1992|Action|"Imperium•Kidou Soukou DaionJP is an action game developed by Jorudan and published by Vic Tokai. It was released in Japan on December 14, 1992. Players pilot giant robots in intense battles to save humanity."
578|Inazuma Serve da!! Super Beach Volley|Virgin Interactive|Unreleased|1995|Sports|"Inazuma Serve da!! Super Beach Volley is a sports game published by Virgin Interactive. It was released in Japan on August 4, 1995. Players can enjoy beach volleyball matches with electrifying moves and gameplay."
579|Incantation|Titus Software|1996|Unreleased|Action|"Incantation is an action game developed and published by Titus Software. It was released in North America on December 1, 1996, and in the PAL region in 1996. Players control a wizard on a quest to defeat evil forces and restore peace to the land."
580|The Incredible Crash Dummies|LJN|1993|1994|Action|"The Incredible Crash Dummies is an action game based on the popular toy line. Players control Crash Test Dummies as they navigate through various levels, avoiding obstacles and enemies to reach the end goal."
581|The Incredible Hulk|U.S. Gold|1994||Action|"The Incredible Hulk game follows the story of the iconic Marvel character as he battles enemies and smashes obstacles in his path. Players can unleash the Hulk's rage in this action-packed adventure."
582|Indiana Jones' Greatest Adventures|JVC Musical Industries  and  LucasArts|1994|1994|Adventure|"Join Indiana Jones on his greatest adventures in this action-packed game. Players will explore exotic locations, solve puzzles, and uncover ancient mysteries in a race against time."
583|Inindo: Way of the Ninja|Koei|1993|1993|Role-Playing|"Inindo: Way of the Ninja is a role-playing game set in feudal Japan. Players take on the role of a ninja on a quest for vengeance, battling enemies and mastering ninja techniques along the way."
584|Inspector Gadget|Hudson Soft|1993||Action|"Inspector Gadget is a platformer game where players control the bumbling detective as he solves mysteries and stops the evil Dr. Claw. Use gadgets and wits to progress through levels and save the day."
585|International Sensible Soccer: World Champions|Renegade Software||1994|Sports|"International Sensible Soccer: World Champions is a sports game that lets players take control of their favorite soccer teams in intense matches. Compete against AI or friends in this fast-paced soccer simulation."
586|International Superstar Soccer|Konami|1995|1994|Sports|"International Superstar Soccer is a soccer game that offers realistic gameplay and fast-paced matches. Choose from a variety of teams and compete in tournaments to become the ultimate soccer superstar."
587|International Superstar Soccer Deluxe|Konami|1995|1995|Sports|"International Superstar Soccer Deluxe is a soccer game that builds upon its predecessor with enhanced graphics and gameplay. Experience the thrill of soccer with improved controls and features."
588|International Tennis Tour|Taito|1993|1993|Sports|"International Tennis Tour is a tennis simulation game that lets players compete in tournaments around the world. Master different court surfaces and strategies to become the ultimate tennis champion."
589|Ippatsu Gyakuten: Keiba Keirin Kyoutei|Pow|Unreleased|1996|Sports|"Ippatsu Gyakuten: Keiba Keirin Kyoutei is a sports betting game that simulates horse racing, cycling, and boat racing. Place bets and watch the races unfold to see if luck is on your side."
590|The Irem Skins Game|Irem|1992|1992|Sports|"The Irem Skins Game is a golf simulation game that challenges players to compete in tournaments and improve their golfing skills. Test your accuracy and strategy on the green."
591|Iron Commando: Koutetsu no Senshi|Poppo|Unreleased|1995|Action|"Iron Commando: Koutetsu no Senshi is a beat 'em up game set in a post-apocalyptic world. Battle against hordes of enemies using martial arts and weapons to restore peace to the land."
592|Isozuri: Ritou Hen|Pack-In-Video|Unreleased|1996|Adventure|"Isozuri: Ritou Hen is an adventure game that takes players on a mysterious journey to a remote island. Solve puzzles, uncover secrets, and navigate the island's dangers to unravel its mysteries."
593|Itadaki Street 2: Neon Sign wa Bara Iro ni|Enix|Unreleased|1994|Board Game|"Itadaki Street 2: Neon Sign wa Bara Iro ni is a board game simulation that combines elements of Monopoly and stock trading. Buy properties, collect rent, and outsmart your opponents to become the wealthiest player."
594|The Itchy & Scratchy Game|Acclaim Entertainment|1995||Action|"The Itchy & Scratchy Game is a platformer based on the fictional cartoon from The Simpsons. Play as Itchy or Scratchy as they battle each other in a violent and comedic adventure."
595|Itoi Shigesato no Bass Tsuri No. 1|Nintendo|Unreleased|1997|Sports|"Itoi Shigesato no Bass Tsuri No. 1 is a fishing simulation game designed by Shigesato Itoi. Experience the thrill of fishing in various locations and compete in tournaments to become the bass fishing champion."
596|Itou Haka Rokudan no Shougi Doujou|ASK|Unreleased|1994|Board Game|"Itou Haka Rokudan no Shougi Doujou is a shogi (Japanese chess) game that offers challenging gameplay for shogi enthusiasts. Test your strategic skills and compete against AI or friends in intense shogi matches."
597|Izzy's Quest for the Olympic Rings|U.S. Gold|1995||Action|"Izzy's Quest for the Olympic Rings is a platformer game featuring Izzy, the official mascot of the 1996 Summer Olympics. Join Izzy on a quest to retrieve the Olympic rings and save the games from disaster."
598|J.League '96 Dream Stadium|Hudson Soft|Unreleased|1996|Sports|"J.League '96 Dream Stadium is a soccer simulation game that allows players to manage and compete with teams from the J.League. Customize tactics, sign players, and lead your team to victory in this immersive soccer experience."
599|J.League Excite Stage '95|Epoch|Unreleased|1995|Sports|"J.League Excite Stage '95 is a soccer simulation game that captures the excitement of the J.League. Experience realistic matches, strategic gameplay, and intense competition as you strive for soccer glory."
600|J.League Excite Stage '96|Epoch|Unreleased|1996|Sports|"J.League Excite Stage '96 is a soccer video game released in Japan in April 1996. It features gameplay centered around the J.League, offering an exciting experience for fans of the sport."
601|J.League Soccer Prime Goal|Namco|Unreleased|1993|Sports|"J.League Soccer Prime Goal is a soccer game developed by Namco and released in Japan in August 1993. It allows players to experience the excitement of J.League matches."
602|J.League Soccer Prime Goal 2|Namco|Unreleased|1994|Sports|"J.League Soccer Prime Goal 2 is a sequel to the original game, released in Japan in August 1994. It continues the soccer action with updated features and gameplay."
603|J.League Super Soccer '95 Jikkyou Stadium|Hudson Soft|Unreleased|1995|Sports|"J.League Super Soccer '95 Jikkyou Stadium is a soccer simulation game developed by A.I. and published by Hudson Soft. It offers realistic gameplay and immersive stadium experiences."
604|J.R.R. Tolkien's The Lord of the Rings, Vol. I|Interplay Entertainment|1994|Unreleased|1995|Adventure|"J.R.R. Tolkien's The Lord of the Rings, Vol. I is an adventure game based on the iconic fantasy series. Players embark on a journey through Middle-earth, encountering familiar characters and locations."
605|Jack Nicklaus Golf|Tradewest|1992|Unreleased|1992|Sports|"Jack Nicklaus Golf is a golf simulation game featuring the legendary golfer Jack Nicklaus. It offers realistic gameplay and challenges for golf enthusiasts."
606|Jaki Crush|Naxat Soft|Unreleased|1992|Puzzle|"Jaki Crush is a puzzle game developed by Compile. Players solve challenging puzzles in a colorful and engaging fantasy world."
607|Jaleco Rally: Big Run: The Supreme 4WD Challenge|Jaleco|Cancelled|1991|Sports|"Jaleco Rally: Big Run: The Supreme 4WD Challenge is a racing game that puts players behind the wheel of powerful 4WD vehicles. Experience intense off-road racing action in this thrilling title."
608|James Bond Jr.|THQ|1992|Unreleased|1992|Action|"James Bond Jr. is an action game based on the popular character. Players step into the shoes of James Bond's nephew, embarking on daring missions and facing off against villains."
609|James Pond 3: Operation Starfish|Electronic Arts|Unreleased|1993|Action|"James Pond 3: Operation Starfish is an action-adventure game where players control the titular character on a mission to save the world. Join James Pond in his aquatic adventures!"
610|Jammes|Carrozzeria|Unreleased|1995|Unknown|"Jammes is a game developed by Mighty Craft and published by Carrozzeria. Explore the world of Jammes in this unique gaming experience."
611|Jammit|GTE Interactive Media|1994|Unreleased|1994|Sports|"Jammit is a sports game developed by GTE Interactive Media. Dive into the world of competitive basketball and showcase your skills on the court."
612|Janyuuki Gokuu Randa|Virgin Interactive|Unreleased|1995|Unknown|"Janyuuki Gokuu Randa is a game published by Virgin Interactive. Embark on a mystical adventure in this captivating title."
613|JB The Super Bass|Naxat Soft|Unreleased|1995|1995|Music|"JB The Super Bass is a music game developed by Gaps and published by Naxat Soft. Immerse yourself in the world of music and rhythm with JB!"
614|Jelly Boy|Ocean Software|Cancelled|1995|1995|Platformer|"Jelly Boy is a platformer game developed by Probe Entertainment. Join Jelly Boy on a colorful and fun-filled adventure through various levels and challenges."
615|Jeopardy!|GameTek|1992|Unreleased|1992|Trivia|"Jeopardy! is a trivia game based on the popular TV show. Test your knowledge across different categories and compete to become the ultimate Jeopardy champion."
616|Jeopardy! Deluxe Edition|GameTek|1994|Unreleased|1994|Trivia|"Jeopardy! Deluxe Edition offers an enhanced trivia experience with new features and categories. Challenge yourself with even more questions and fun gameplay."
617|Jeopardy! Sports Edition|GameTek|1994|Unreleased|1994|Trivia|"Jeopardy! Sports Edition focuses on sports-related trivia questions. Put your sports knowledge to the test and compete in this exciting quiz game."
618|The Jetsons: Invasion of the Planet Pirates•Youkai Buster: Ruka no DaiboukenJP|Kadokawa Shoten (JP)Taito (NA)|1994|1995|1994|Action|"The Jetsons: Invasion of the Planet Pirates is an action game released in North America in June 1994. Join the Jetsons in a space adventure to save the galaxy."
619|Jikkyou Keiba Simulation: Stable Star|Konami|Unreleased|1996|Sports|"Jikkyou Keiba Simulation: Stable Star is a horse racing simulation game developed by KCEO and published by Konami. Experience the thrill of horse racing and manage your own stable of champions."
620|Jikkyou Oshaberi Parodius|Konami|Unreleased|1995| |"Jikkyou Oshaberi Parodius is a humorous side-scrolling shoot 'em up game featuring cute characters and wacky power-ups. Players navigate through various levels while engaging in quirky dialogue and facing off against bizarre enemies."
621|Jikkyou Power Pro Wrestling '96: Max Voltage|Konami|Unreleased|1996| |"Jikkyou Power Pro Wrestling '96: Max Voltage is a professional wrestling game that allows players to control various wrestlers and compete in intense matches. With improved graphics and gameplay mechanics, this installment offers an exciting experience for fans of the genre."
622|Jikkyou Powerful Pro Yakyuu: Basic Han '98|Konami|Unreleased|1998| |"Jikkyou Powerful Pro Yakyuu: Basic Han '98 is a baseball simulation game that puts players in the shoes of a team manager. With updated rosters and realistic gameplay, this title offers an immersive baseball experience for enthusiasts."
623|Jikkyou Powerful Pro Yakyuu '94|Konami|Cancelled|1994| |"Jikkyou Powerful Pro Yakyuu '94 is a baseball game that allows players to take control of their favorite teams and compete in thrilling matches. Despite its cancellation in North America, this title remains popular among fans of the sport."
624|Jikkyou Powerful Pro Yakyuu '96 Kaimaku Han|Konami|Unreleased|1996| |"Jikkyou Powerful Pro Yakyuu '96 Kaimaku Han is a baseball simulation game that focuses on the early stages of a baseball season. Players can experience the excitement of starting a new season with updated teams and improved gameplay mechanics."
625|Jikkyou Powerful Pro Yakyuu 2|Konami|Unreleased|1995| |"Jikkyou Powerful Pro Yakyuu 2 is a baseball game that offers players the chance to step into the shoes of their favorite baseball players. With realistic gameplay and strategic depth, this title provides an engaging experience for fans of the sport."
